"start.station.id","2020","2019","2018","2017","2016"
406,34,51,61,58,49
408,177,239,244,207,123
410,487,588,285,351,286
411,107,145,126,116,88
412,238,569,553,465,282
415,854,576,403,571,358
416,24,5,24,47,36
417,1155,3418,2653,2340,2311
418,33,62,5,7,10
419,5,4,10,9,2
420,14,7,11,20,15
421,3,6,13,6,23
422,118,215,94,187,71
423,109,82,118,88,58
426,1578,2237,2197,2393,1723
427,370,614,427,574,334
432,252,355,302,420,253
434,231,336,NA,406,419
435,456,447,385,450,296
436,2,2,5,39,2
437,6,21,5,15,2
438,331,396,286,198,149
439,409,597,168,373,38
440,54,27,33,38,38
442,261,309,243,329,221
443,17,13,4,3,1
445,279,366,367,188,222
446,414,338,365,317,225
447,124,167,99,95,91
448,301,315,169,249,141
450,177,214,162,163,96
453,279,264,230,228,159
454,55,67,17,8,22
455,14,11,11,21,22
456,62,91,49,34,36
458,623,1060,514,635,397
459,453,1634,1476,1411,898
460,107,54,59,63,57
461,80,222,150,153,133
462,657,579,402,491,393
464,71,18,NA,NA,NA
465,129,175,85,125,28
466,213,210,209,211,127
467,30,42,73,49,45
468,224,132,78,106,128
469,124,67,62,44,43
470,275,258,167,174,164
471,24,33,31,98,65
472,114,139,126,115,106
473,182,324,244,306,284
474,252,201,71,163,106
476,153,117,67,95,65
477,101,225,257,251,199
478,345,507,308,382,227
479,155,176,150,189,127
480,286,152,188,290,204
481,69,80,83,58,17
482,481,564,418,439,387
483,272,217,247,301,228
484,96,192,114,173,153
485,121,81,100,126,88
486,132,146,161,162,122
487,73,214,161,157,85
489,245,438,NA,NA,NA
490,250,306,206,255,214
492,238,142,147,150,115
493,83,78,57,NA,49
494,268,258,206,182,195
495,199,229,133,141,118
496,355,573,383,349,346
497,405,532,413,501,368
499,159,125,68,71,75
500,98,72,60,46,67
501,100,72,34,49,44
502,319,157,323,299,229
503,231,353,298,298,114
504,180,178,115,124,46
505,143,164,148,133,111
507,68,213,125,153,159
508,350,551,312,302,188
509,543,443,352,412,354
513,159,130,94,113,94
514,1276,1408,1166,1203,809
515,344,232,145,113,106
516,31,31,10,37,12
517,128,239,216,222,178
518,34,117,74,106,56
519,221,601,550,715,615
522,58,33,28,62,60
525,611,947,356,442,361
526,125,177,118,128,106
528,172,132,92,91,38
529,81,180,112,239,172
530,309,442,387,539,314
531,310,645,526,553,502
532,239,173,171,174,186
533,136,75,79,25,63
534,229,404,373,379,237
536,54,50,68,37,122
539,61,66,50,42,34
540,274,137,90,106,106
545,216,105,74,87,27
546,105,142,98,95,69
2000,150,201,208,174,168
2002,79,169,47,41,39
2003,185,128,85,165,70
2006,101,60,39,48,27
2008,1866,2069,1812,1986,1257
2009,286,505,532,412,313
2010,544,NA,752,697,506
2012,84,55,41,52,62
2017,61,27,NA,NA,52
2021,100,141,98,158,121
2022,8,NA,6,3,2
3016,87,79,32,50,24
3041,13,8,23,1,NA
3042,16,50,42,15,3
3043,6,2,2,1,NA
3044,8,NA,NA,1,NA
3046,2,3,5,7,NA
3047,7,1,3,2,1
3048,9,7,NA,2,6
3049,23,28,22,27,25
3050,4,1,6,8,3
3052,6,4,20,3,3
3053,3,5,10,6,2
3054,3,2,5,4,9
3055,9,8,5,3,2
3056,11,11,3,8,2
3057,3,18,2,15,38
3058,17,8,6,1,1
3059,17,NA,NA,1,1
3060,16,8,3,1,1
3061,3,1,5,NA,NA
3062,16,6,2,1,NA
3063,3,12,7,3,NA
3064,2,7,21,24,17
3065,4,2,2,NA,NA
3066,3,NA,NA,3,1
3067,4,1,1,6,2
3068,13,54,2,9,2
3069,1,6,2,1,NA
3070,4,28,2,2,1
3071,6,9,11,NA,2
3072,9,9,14,3,2
3074,33,11,6,7,10
3075,2,NA,NA,3,2
3076,17,15,11,3,15
3077,46,59,72,12,15
3078,20,38,8,11,7
3080,85,43,22,34,13
3081,30,19,10,5,5
3082,46,37,37,14,19
3083,7,7,55,7,6
3085,49,10,NA,47,43
3086,11,4,5,14,4
3087,17,28,4,5,12
3088,17,16,3,12,22
3092,43,28,13,36,28
3093,28,23,23,24,58
3094,17,3,4,5,5
3095,34,1,3,NA,NA
3096,28,15,7,5,3
3100,13,40,17,32,5
3101,10,35,9,11,9
3102,7,11,20,5,9
3105,2,8,6,11,6
3106,15,27,10,2,2
3107,22,15,19,55,12
3108,1,33,23,3,2
3109,14,5,8,9,1
3110,13,8,44,2,NA
3112,16,20,10,44,48
3113,16,4,12,14,7
3115,9,20,35,43,26
3116,8,10,3,9,2
3117,5,4,2,3,4
3118,4,4,2,1,2
3119,2,3,4,1,1
3121,1,2,NA,2,NA
3122,1,1,1,NA,NA
3124,1,NA,NA,2,NA
3125,1,NA,1,NA,NA
3126,1,2,2,1,1
3128,1,NA,NA,1,3
3129,8,4,5,4,1
3130,9,NA,1,2,NA
3131,12,5,5,8,3
3132,45,45,32,49,19
3134,33,12,9,19,12
3135,18,12,4,5,20
3136,90,42,14,9,NA
3137,73,37,16,24,14
3139,19,13,14,11,8
3140,24,24,22,10,45
3141,74,35,33,20,11
3142,79,21,28,20,5
3143,43,34,10,11,24
3144,24,NA,NA,3,2
3145,29,25,17,15,30
3146,14,6,9,23,12
3147,16,2,10,5,4
3148,29,NA,5,2,2
3150,7,15,3,5,1
3151,16,3,5,11,4
3152,4,3,2,10,6
3154,15,17,8,NA,5
3156,21,11,20,11,11
3157,8,2,NA,2,2
3158,99,135,77,109,66
3159,58,95,47,69,48
3160,42,38,16,22,26
3161,46,87,29,60,40
3163,71,42,23,26,26
3164,126,69,96,147,91
3165,68,33,44,37,30
3166,266,198,143,180,145
3167,72,82,77,61,60
3169,126,76,103,148,111
3170,54,28,18,12,19
3171,58,20,29,63,19
3172,38,12,10,30,23
3173,368,205,121,201,261
3175,65,77,29,19,46
3177,32,56,35,40,48
3178,159,139,88,93,99
3179,1,NA,1,2,NA
3182,4,NA,3,NA,NA
3221,7,NA,1,NA,1
3226,28,NA,22,15,15
3231,14,9,10,11,20
3232,40,44,35,58,64
3233,45,100,68,52,42
3235,38,113,79,73,52
3236,122,173,110,295,168
3241,25,4,27,17,18
3242,59,18,17,24,49
3243,16,2,13,12,3
3244,450,478,372,387,251
3246,67,NA,NA,NA,70
3249,4,1,2,2,2
3254,2,2,NA,1,NA
3255,166,963,441,710,252
3256,1809,1614,1353,1465,996
3259,187,256,130,240,151
3260,348,569,655,665,447
3263,302,458,378,448,697
3282,23,19,19,19,22
3283,29,14,18,15,5
3284,4,3,7,6,16
3285,18,22,14,26,24
3286,12,6,3,5,2
3287,24,47,NA,NA,48
3288,15,5,14,7,4
3289,16,5,24,21,10
3290,10,31,14,12,3
3292,12,13,5,4,8
3293,23,44,25,38,17
3294,14,8,4,4,1
3295,4,8,13,11,5
3296,10,3,2,3,NA
3297,13,2,4,13,16
3298,24,11,8,4,11
3299,2,NA,1,NA,NA
3300,7,7,3,7,2
3301,40,8,48,28,9
3302,5,NA,2,3,3
3303,9,14,22,56,14
3304,9,13,14,7,3
3305,16,6,2,1,4
3306,9,12,9,11,4
3307,93,48,98,50,39
3308,12,26,47,36,12
3309,2,NA,NA,1,NA
3310,9,8,5,2,5
3311,16,11,48,33,38
3312,6,NA,2,NA,1
3313,9,9,4,14,11
3314,44,47,35,25,18
3315,14,12,13,16,42
3317,6,3,6,33,2
3318,14,4,7,2,NA
3319,18,15,7,6,1
3320,4,3,5,19,NA
3321,19,26,13,22,14
3322,2,4,6,6,2
3323,29,11,15,26,22
3324,10,10,5,4,3
3325,14,NA,NA,1,2
3326,4,1,NA,NA,NA
3327,2,NA,NA,NA,NA
3328,18,20,12,11,2
3329,14,22,26,22,13
3330,2,NA,2,NA,1
3331,82,55,48,62,30
3332,17,23,9,NA,1
3333,2,NA,NA,NA,1
3335,26,58,15,9,33
3336,14,11,6,26,NA
3337,5,NA,1,2,NA
3338,6,3,NA,2,NA
3339,10,10,30,56,NA
3340,1,2,NA,5,1
3343,5,4,2,48,18
3344,2,6,4,3,3
3345,7,2,NA,4,NA
3346,2,6,19,19,4
3347,1,54,3,6,2
3348,8,2,4,11,3
3349,19,8,13,12,5
3350,41,49,38,15,20
3351,5,3,NA,NA,NA
3352,14,2,NA,1,NA
3354,14,5,3,4,3
3355,12,5,14,1,1
3356,52,56,22,37,19
3357,15,13,12,7,19
3358,7,6,6,6,14
3359,8,8,2,6,5
3360,3,43,40,77,24
3361,8,5,10,20,16
3362,25,14,9,7,2
3363,3,NA,1,1,1
3364,17,22,19,11,16
3365,43,21,39,31,28
3366,22,14,37,32,4
3367,12,1,5,3,2
3368,14,44,41,13,38
3369,32,2,1,NA,NA
3370,12,19,2,2,4
3372,74,9,23,19,6
3373,7,5,5,3,5
3374,19,3,9,14,6
3375,12,9,12,4,2
3376,16,3,4,13,3
3377,28,22,14,20,3
3378,21,14,9,14,4
3379,3,2,NA,NA,NA
3381,4,1,4,10,10
3382,10,16,24,71,58
3383,32,31,11,57,30
3384,10,4,4,10,2
3386,25,11,8,29,22
3387,2,2,NA,NA,NA
3388,9,17,15,24,10
3390,7,12,1,NA,2
3391,2,NA,NA,6,NA
3392,4,10,3,NA,4
3393,1,NA,NA,1,2
3394,6,1,1,NA,NA
3395,2,NA,NA,1,1
3396,19,18,18,12,11
3397,23,15,4,10,4
3398,12,4,2,3,2
3399,5,3,2,4,2
3400,4,8,7,4,2
3402,46,32,40,74,47
3403,48,34,37,38,11
3404,6,19,1,8,3
3405,5,5,7,18,13
3407,12,7,13,13,1
3408,47,73,34,39,69
3409,44,83,111,115,22
3410,35,1,20,4,NA
3411,52,84,51,23,22
3412,27,8,12,29,1
3414,17,29,20,21,7
3415,11,11,12,14,4
3416,10,40,NA,4,8
3417,22,7,16,38,11
3418,21,10,6,26,7
3419,25,13,29,47,57
3420,22,11,11,25,22
3421,8,NA,8,2,1
3422,15,47,12,6,14
3423,29,9,21,15,8
3424,6,NA,NA,NA,NA
3425,2,NA,1,NA,NA
3429,16,27,32,33,16
3430,12,6,NA,7,NA
3435,867,1357,1089,1116,288
3436,389,NA,NA,2016,595
3437,84,51,47,49,NA
3440,52,136,79,61,NA
3443,114,70,132,102,NA
3452,16,2,NA,2,NA
3453,22,10,3,2,NA
3454,10,7,15,1,NA
3456,5,3,3,13,NA
3457,39,22,24,NA,NA
3461,1798,2459,1710,1278,NA
3462,34,NA,12,24,NA
3463,102,189,186,187,NA
3467,580,1236,971,772,NA
3469,7,6,1,3,NA
3472,502,769,735,589,NA
3477,3,1,2,1,NA
3478,9,4,6,2,NA
3479,2,NA,NA,NA,NA
3486,65,52,55,36,NA
3491,1,NA,NA,NA,NA
3493,5,NA,NA,NA,NA
3495,3,NA,NA,NA,NA
3496,6,NA,1,NA,NA
3497,2,NA,NA,3,NA
3498,2,NA,NA,NA,NA
3500,2,NA,NA,NA,NA
3501,1,1,1,NA,NA
3502,4,NA,2,NA,NA
3503,1,2,NA,NA,NA
3507,3,5,3,NA,NA
3508,1,2,1,1,NA
3509,2,2,1,2,NA
3510,5,5,NA,NA,NA
3511,2,NA,4,1,NA
3514,1,NA,NA,NA,NA
3515,2,NA,NA,NA,NA
3517,1,2,NA,NA,NA
3518,7,1,6,1,NA
3520,2,NA,NA,NA,NA
3521,11,3,3,NA,NA
3522,1,NA,NA,NA,NA
3525,1,NA,NA,NA,NA
3526,12,1,NA,NA,NA
3527,1,NA,1,NA,NA
3529,2,6,19,NA,NA
3530,1,NA,NA,NA,NA
3531,1,4,1,1,NA
3532,1,1,NA,NA,NA
3533,7,3,2,NA,NA
3534,3,10,7,2,NA
3535,8,NA,NA,7,NA
3536,24,18,28,10,NA
3537,11,41,26,6,NA
3538,11,11,5,4,NA
3539,6,4,8,NA,NA
3540,1,1,2,2,NA
3541,1,12,5,NA,NA
3542,5,3,5,2,NA
3543,2,5,1,NA,NA
3544,15,57,54,1,NA
3545,1,8,11,3,NA
3546,2,9,6,NA,NA
3547,10,52,36,20,NA
3549,10,12,18,3,NA
3551,4,NA,NA,NA,NA
3552,31,12,22,12,NA
3553,9,6,9,6,NA
3554,1,NA,NA,NA,NA
3555,1,2,1,1,NA
3558,28,36,13,2,NA
3559,1,NA,NA,NA,NA
3562,21,43,10,NA,NA
3566,1,NA,NA,NA,NA
3569,11,8,1,1,NA
3570,3,NA,NA,NA,NA
3571,10,13,46,NA,NA
3573,1,NA,NA,NA,NA
3574,13,14,4,3,NA
3575,4,NA,NA,NA,NA
3576,10,12,12,6,NA
3578,17,37,4,NA,NA
3579,26,7,3,2,NA
3580,10,6,1,NA,NA
3581,12,7,10,NA,NA
3582,4,2,2,NA,NA
3583,6,5,4,NA,NA
3584,6,18,11,NA,NA
3585,6,3,6,NA,NA
3587,3,2,6,NA,NA
3588,2,NA,NA,NA,NA
3590,15,NA,2,NA,NA
3593,4,NA,NA,1,NA
3597,2,NA,NA,NA,NA
3599,12,7,7,1,NA
3600,4,NA,NA,NA,NA
3601,55,1,NA,NA,NA
3602,1,NA,NA,NA,NA
3604,10,2,2,NA,NA
3611,1,NA,NA,NA,NA
3613,1,4,NA,NA,NA
3614,1,NA,NA,NA,NA
3615,1,NA,1,NA,NA
3618,2,1,NA,NA,NA
3619,1,NA,NA,NA,NA
3622,1,NA,NA,NA,NA
3623,14,14,14,1,NA
3629,3,3,1,NA,NA
3630,10,1,1,NA,NA
3635,53,NA,18,49,NA
3637,29,22,24,7,NA
3641,446,463,291,84,NA
3648,18,10,23,NA,NA
3649,3,2,4,NA,NA
3654,2,1,NA,NA,NA
3656,308,383,324,NA,NA
3658,98,112,236,NA,NA
3661,2,NA,NA,NA,NA
3664,1803,5937,2876,NA,NA
3668,5,27,17,NA,NA
3671,22,13,4,NA,NA
3673,18,15,8,NA,NA
3674,51,89,65,NA,NA
3676,11,5,NA,NA,NA
3680,85,452,196,NA,NA
3686,487,722,694,NA,NA
3687,172,159,120,NA,NA
3689,14,17,14,NA,NA
3690,659,1084,810,NA,NA
3691,2,NA,NA,NA,NA
3693,13,12,7,NA,NA
3697,138,232,150,NA,NA
3699,166,142,56,NA,NA
3707,263,257,NA,NA,NA
3708,344,454,NA,NA,NA
3709,476,NA,30,NA,NA
3711,273,352,46,NA,NA
3712,117,158,2,NA,NA
3714,28,5,NA,NA,NA
3715,24,39,NA,NA,NA
3716,2,NA,NA,NA,NA
3718,145,265,NA,NA,NA
3723,71,69,NA,NA,NA
3724,78,63,NA,NA,NA
3725,57,11,NA,NA,NA
3726,1,NA,NA,NA,NA
3727,12,3,NA,NA,NA
3728,39,58,NA,NA,NA
3731,72,NA,NA,NA,NA
3733,53,111,NA,NA,NA
3734,21,32,NA,NA,NA
3735,535,NA,NA,NA,NA
3737,221,248,NA,NA,NA
3738,128,NA,NA,NA,NA
3739,390,NA,NA,NA,NA
3740,546,NA,NA,NA,NA
3744,279,NA,NA,NA,NA
3745,2,1,NA,NA,NA
3746,1398,1640,NA,NA,NA
3749,60,87,NA,NA,NA
3755,19,15,NA,NA,NA
3756,4,2,NA,NA,NA
3757,3,NA,NA,NA,NA
3758,2,NA,NA,NA,NA
3759,6,NA,NA,NA,NA
3760,3,NA,NA,NA,NA
3762,24,25,NA,NA,NA
3764,14,NA,NA,NA,NA
3765,3,2,NA,NA,NA
3766,10,7,NA,NA,NA
3767,2,10,NA,NA,NA
3768,5,NA,NA,NA,NA
3769,2,NA,NA,NA,NA
3771,4,5,NA,NA,NA
3772,3,1,NA,NA,NA
3773,8,18,NA,NA,NA
3774,5,8,NA,NA,NA
3775,4,NA,NA,NA,NA
3777,2,1,NA,NA,NA
3778,2,1,NA,NA,NA
3779,1,NA,NA,NA,NA
3780,1,NA,NA,NA,NA
3781,1,17,NA,NA,NA
3782,26,11,NA,NA,NA
3783,905,907,NA,NA,NA
3785,179,NA,NA,NA,NA
3786,190,NA,NA,NA,NA
3787,5,3,NA,NA,NA
3789,20,5,NA,NA,NA
3790,49,48,NA,NA,NA
3793,7,21,NA,NA,NA
3795,1,26,NA,NA,NA
3798,135,115,NA,NA,NA
3799,165,108,NA,NA,NA
3803,3,1,NA,NA,NA
3804,80,40,NA,NA,NA
3808,3,NA,NA,NA,NA
3809,137,65,NA,NA,NA
3812,538,248,NA,NA,NA
3813,210,NA,NA,NA,NA
3814,43,NA,NA,NA,NA
3815,76,2,NA,NA,NA
3817,1,NA,NA,NA,NA
3818,1,1,NA,NA,NA
3819,1,NA,NA,NA,NA
3820,5,3,NA,NA,NA
3821,1,NA,NA,NA,NA
3822,9,1,NA,NA,NA
3823,13,1,NA,NA,NA
3824,1,NA,NA,NA,NA
3826,27,NA,NA,NA,NA
3827,7,NA,NA,NA,NA
3829,1,NA,NA,NA,NA
3830,2,NA,NA,NA,NA
3831,2,NA,NA,NA,NA
3832,1,NA,NA,NA,NA
3833,1,NA,NA,NA,NA
3834,1,NA,NA,NA,NA
3836,3,NA,NA,NA,NA
3837,3,NA,NA,NA,NA
3838,6,NA,NA,NA,NA
3842,4,1,NA,NA,NA
3843,3,NA,NA,NA,NA
3846,2,NA,NA,NA,NA
3847,1,NA,NA,NA,NA
3848,12,1,NA,NA,NA
3850,2,NA,NA,NA,NA
3851,10,NA,NA,NA,NA
3853,2,1,NA,NA,NA
3854,2,NA,NA,NA,NA
3855,2,NA,NA,NA,NA
3856,18,3,NA,NA,NA
3857,4,1,NA,NA,NA
3858,1,2,NA,NA,NA
3859,11,NA,NA,NA,NA
3860,1,2,NA,NA,NA
3869,2,NA,NA,NA,NA
3871,2,NA,NA,NA,NA
3872,2,NA,NA,NA,NA
3873,1,NA,NA,NA,NA
3874,2,NA,NA,NA,NA
3879,1,NA,NA,NA,NA
3881,65,NA,NA,NA,NA
3885,3,NA,NA,NA,NA
3888,3,NA,NA,NA,NA
3890,10,NA,NA,NA,NA
3891,3,NA,NA,NA,NA
3893,6,NA,NA,NA,NA
3894,14,NA,NA,NA,NA
3895,1,NA,NA,NA,NA
3896,2,NA,NA,NA,NA
3898,22,NA,NA,NA,NA
3899,14,NA,NA,NA,NA
3900,3,NA,NA,NA,NA
3902,1,NA,NA,NA,NA
3903,1,NA,NA,NA,NA
3905,235,NA,NA,NA,NA
3906,2487,NA,NA,NA,NA
3907,1,NA,NA,NA,NA
3909,1,NA,NA,NA,NA
3911,39,NA,NA,NA,NA
3913,20,NA,NA,NA,NA
3914,40,NA,NA,NA,NA
3916,332,NA,NA,NA,NA
3917,7,NA,NA,NA,NA
3918,34,NA,NA,NA,NA
3919,429,NA,NA,NA,NA
3921,1,NA,NA,NA,NA
3926,3,NA,NA,NA,NA
3927,2,NA,NA,NA,NA
3928,3,NA,NA,NA,NA
3934,4,NA,NA,NA,NA
3936,21,NA,NA,NA,NA
3942,4,NA,NA,NA,NA
3946,2,NA,NA,NA,NA
3952,1,NA,NA,NA,NA
3953,1,NA,NA,NA,NA
3959,4,NA,NA,NA,NA
3960,2,NA,NA,NA,NA
3963,2,NA,NA,NA,NA
3967,6,NA,NA,NA,NA
3973,3,NA,NA,NA,NA
3975,1,NA,NA,NA,NA
3977,1,NA,NA,NA,NA
3981,1,NA,NA,NA,NA
3982,1,NA,NA,NA,NA
3984,1,NA,NA,NA,NA
3986,4,NA,NA,NA,NA
3992,11,NA,NA,NA,NA
3995,1,NA,NA,NA,NA
3997,1,NA,NA,NA,NA
3998,4,NA,NA,NA,NA
3999,1,NA,NA,NA,NA
4000,2,NA,NA,NA,NA
4001,1,NA,NA,NA,NA
4002,1,NA,NA,NA,NA
4004,1,NA,NA,NA,NA
4005,2,NA,NA,NA,NA
4007,1,NA,NA,NA,NA
4009,3,NA,NA,NA,NA
4010,1,NA,NA,NA,NA
4012,2,NA,NA,NA,NA
4014,3,NA,NA,NA,NA
4018,17,NA,NA,NA,NA
4023,5,NA,NA,NA,NA
4024,3,NA,NA,NA,NA
4025,1,NA,NA,NA,NA
4036,4,NA,NA,NA,NA
4040,93,NA,NA,NA,NA
4041,1,NA,NA,NA,NA
4043,63,NA,NA,NA,NA
4044,113,NA,NA,NA,NA
4045,287,NA,NA,NA,NA
4047,1,NA,NA,NA,NA
4051,1,NA,NA,NA,NA
4052,1,NA,NA,NA,NA
4054,1,NA,NA,NA,NA
4055,6,NA,NA,NA,NA
4058,82,NA,NA,NA,NA
4059,6,NA,NA,NA,NA
4065,2,NA,NA,NA,NA
4068,8,NA,NA,NA,NA
4069,3,NA,NA,NA,NA
4070,3,NA,NA,NA,NA
4071,4,NA,NA,NA,NA
4072,43,NA,NA,NA,NA
4073,65,NA,NA,NA,NA
4075,35,NA,NA,NA,NA
4092,1,NA,NA,NA,NA
4102,1,NA,NA,NA,NA
4108,2,NA,NA,NA,NA
4109,3,NA,NA,NA,NA
4110,24,NA,NA,NA,NA
4112,1,NA,NA,NA,NA
4117,2,NA,NA,NA,NA
4118,128,NA,NA,NA,NA
4120,98,NA,NA,NA,NA
4121,55,NA,NA,NA,NA
4122,41,NA,NA,NA,NA
4123,15,NA,NA,NA,NA
4124,18,NA,NA,NA,NA
4125,1,NA,NA,NA,NA
4188,2,NA,NA,NA,NA
4193,15,NA,NA,NA,NA
4225,11,NA,NA,NA,NA
